id,fixture,identifier,points,value
1,2,minutes,0,0
2,2,minutes,0,0
3,2,minutes,0,0
4,2,minutes,0,0
5,2,minutes,1,4
6,2,minutes,2,90
7,2,minutes,0,0
8,2,minutes,0,0
9,2,minutes,0,0
10,2,minutes,0,0
11,2,minutes,0,0
12,2,minutes,2,85
12,2,assists,3,1
13,2,minutes,2,72
13,2,goals_scored,4,1
13,2,bonus,2,2
14,2,minutes,2,90
15,2,minutes,2,90
16,2,minutes,0,0
17,2,minutes,2,90
18,2,minutes,0,0
19,2,minutes,2,90
19,2,goals_scored,5,1
19,2,bonus,3,3
20,2,minutes,2,90
20,2,assists,3,1
21,2,minutes,0,0
22,2,minutes,0,0
23,2,minutes,0,0
24,2,minutes,0,0
25,2,minutes,1,40
26,2,minutes,1,17
27,7,minutes,0,0
28,2,minutes,2,90
28,2,goals_conceded,-1,2
28,2,saves,1,5
29,2,minutes,2,90
29,2,yellow_cards,-1,1
30,2,minutes,0,0
31,2,minutes,0,0
32,6,minutes,0,0
33,6,minutes,0,0
34,6,minutes,1,45
35,6,minutes,0,0
36,6,minutes,2,86
36,6,goals_conceded,-2,4
36,6,yellow_cards,-1,1
37,6,minutes,0,0
38,6,minutes,1,3
39,6,minutes,0,0
40,6,minutes,0,0
41,6,minutes,1,26
41,6,goals_conceded,-1,2
42,6,minutes,2,90
42,6,goals_conceded,-2,5
42,6,yellow_cards,-1,1
43,6,minutes,2,90
43,6,yellow_cards,-1,1
44,6,minutes,0,0
45,6,minutes,0,0
46,6,minutes,0,0
47,6,minutes,2,90
48,6,minutes,2,90
48,6,goals_conceded,-2,5
49,6,minutes,2,90
49,6,goals_conceded,-2,5
49,6,yellow_cards,-1,1
49,6,saves,2,7
50,6,minutes,2,63
51,6,minutes,1,30
51,6,goals_conceded,-1,2
52,4,minutes,2,90
53,6,minutes,0,0
54,6,minutes,1,3
55,6,minutes,0,0
56,6,minutes,0,0
57,6,minutes,0,0
58,6,minutes,1,45
59,6,minutes,0,0
60,6,minutes,2,90
60,6,assists,3,1
61,6,minutes,0,0
62,3,minutes,1,59
63,3,minutes,2,90
64,3,minutes,2,74
65,3,minutes,2,66
66,3,minutes,0,0
67,3,minutes,0,0
68,3,minutes,0,0
69,3,minutes,1,15
70,3,minutes,0,0
71,3,minutes,0,0
72,3,minutes,1,30
73,3,minutes,0,0
74,3,minutes,0,0
75,3,minutes,1,30
75,3,yellow_cards,-1,1
76,3,minutes,1,23
77,3,minutes,2,90
78,3,minutes,0,0
79,3,minutes,0,0
80,3,minutes,0,0
81,3,minutes,2,90
82,3,minutes,1,15
82,3,assists,3,1
83,3,minutes,1,59
84,3,minutes,0,0
85,3,minutes,2,90
85,3,goals_scored,4,1
85,3,bonus,1,1
86,3,minutes,0,0
87,3,minutes,0,0
88,3,minutes,0,0
89,3,minutes,2,90
90,8,minutes,2,83
90,8,goals_conceded,-1,2
91,8,minutes,0,0
92,8,minutes,1,18
93,8,minutes,0,0
94,8,minutes,0,0
95,8,minutes,0,0
96,8,minutes,2,90
96,8,goals_conceded,-1,2
97,8,minutes,0,0
98,8,minutes,1,41
99,8,minutes,0,0
100,8,minutes,0,0
101,8,minutes,2,90
101,8,goals_conceded,-1,2
101,8,saves,1,4
102,8,minutes,0,0
103,8,minutes,2,90
103,8,assists,3,1
103,8,goals_conceded,-1,2
104,8,minutes,2,71
104,8,goals_conceded,-1,2
104,8,yellow_cards,-1,1
105,8,minutes,2,90
106,8,minutes,1,48
106,8,assists,3,1
107,8,minutes,0,0
108,8,minutes,2,90
108,8,goals_scored,5,1
109,8,minutes,0,0
110,8,minutes,2,71
111,8,minutes,0,0
112,8,minutes,2,90
112,8,goals_conceded,-1,2
113,8,minutes,0,0
114,8,minutes,1,18
115,8,minutes,1,18
116,8,minutes,0,0
117,8,minutes,0,0
118,8,minutes,0,0
119,8,minutes,2,71
119,8,goals_scored,4,1
119,8,bonus,3,3
120,8,minutes,0,0
121,8,minutes,1,6
122,4,minutes,1,16
122,4,goals_scored,5,1
123,4,minutes,0,0
124,4,minutes,0,0
125,4,minutes,0,0
126,4,minutes,0,0
127,4,minutes,0,0
128,4,minutes,2,73
128,4,clean_sheets,1,1
129,4,minutes,2,90
130,4,minutes,1,2
131,4,minutes,2,90
131,4,assists,3,1
131,4,yellow_cards,-1,1
131,4,bonus,3,3
132,4,minutes,1,12
132,4,goals_scored,4,1
133,4,minutes,1,16
134,4,minutes,2,90
135,4,minutes,2,87
135,4,goals_scored,4,1
135,4,bonus,1,1
136,4,minutes,0,0
137,4,minutes,0,0
138,4,minutes,0,0
139,4,minutes,0,0
140,4,minutes,2,73
140,4,goals_scored,5,1
140,4,clean_sheets,1,1
140,4,bonus,1,1
141,4,minutes,0,0
142,4,minutes,2,78
142,4,clean_sheets,1,1
143,4,minutes,2,90
143,4,assists,3,1
143,4,yellow_cards,-1,1
143,4,bonus,1,1
144,4,minutes,0,0
145,9,minutes,2,90
146,4,minutes,0,0
147,4,minutes,0,0
148,4,minutes,2,90
149,4,minutes,0,0
150,4,minutes,2,90
151,4,minutes,1,11
152,4,minutes,0,0
153,4,minutes,0,0
154,4,minutes,2,77
155,4,minutes,0,0
156,1,minutes,0,0
157,1,minutes,2,90
157,1,goals_conceded,-1,3
158,1,minutes,0,0
159,1,minutes,1,16
160,1,minutes,2,73
160,1,goals_conceded,-1,2
161,1,minutes,1,1
162,1,minutes,0,0
163,1,minutes,0,0
164,1,minutes,0,0
165,1,minutes,2,90
166,1,minutes,0,0
167,1,minutes,0,0
168,1,minutes,2,90
169,1,minutes,0,0
170,1,minutes,0,0
171,1,minutes,0,0
172,1,minutes,0,0
173,1,minutes,2,90
173,1,goals_conceded,-1,3
174,1,minutes,0,0
175,1,minutes,0,0
176,1,minutes,2,90
176,1,goals_conceded,-1,3
177,1,minutes,0,0
178,1,minutes,0,0
179,1,minutes,0,0
180,1,minutes,0,0
181,1,minutes,0,0
182,1,minutes,2,90
182,1,goals_conceded,-1,3
183,1,minutes,0,0
184,1,minutes,1,30
184,1,red_cards,-3,1
185,9,minutes,0,0
186,9,minutes,0,0
187,9,minutes,0,0
188,9,minutes,0,0
189,9,minutes,0,0
190,9,minutes,0,0
191,9,minutes,0,0
192,9,minutes,0,0
193,9,minutes,0,0
194,9,minutes,0,0
195,9,minutes,2,89
195,9,assists,3,1
195,9,bonus,2,2
196,9,minutes,2,80
196,9,yellow_cards,-1,1
197,9,minutes,2,90
198,9,minutes,0,0
199,9,minutes,2,90
199,9,yellow_cards,-1,1
200,9,minutes,0,0
201,9,minutes,0,0
202,9,minutes,2,90
203,9,minutes,1,14
204,9,minutes,0,0
205,9,minutes,0,0
206,9,minutes,2,75
207,9,minutes,0,0
208,9,minutes,0,0
209,10,minutes,2,67
209,10,clean_sheets,1,1
210,9,minutes,1,9
211,9,minutes,2,90
211,9,yellow_cards,-1,1
212,9,minutes,0,0
213,9,minutes,0,0
214,9,minutes,0,0
215,9,minutes,0,0
216,9,minutes,2,80
217,9,minutes,2,90
218,9,minutes,0,0
219,7,minutes,0,0
220,7,minutes,2,90
220,7,clean_sheets,4,1
220,7,bonus,3,3
221,7,minutes,2,90
221,7,assists,3,1
221,7,clean_sheets,1,1
222,7,minutes,0,0
223,7,minutes,2,90
223,7,clean_sheets,1,1
224,7,minutes,0,0
225,7,minutes,2,90
225,7,goals_scored,4,1
225,7,bonus,1,1
226,7,minutes,2,90
226,7,clean_sheets,1,1
227,7,minutes,0,0
228,7,minutes,2,90
228,7,clean_sheets,4,1
229,7,minutes,0,0
230,7,minutes,2,90
230,7,clean_sheets,4,1
231,7,minutes,2,90
231,7,clean_sheets,1,1
232,7,minutes,0,0
233,7,minutes,0,0
234,7,minutes,2,90
234,7,clean_sheets,4,1
234,7,bonus,2,2
235,7,minutes,0,0
236,7,minutes,0,0
237,7,minutes,0,0
238,7,minutes,0,0
239,7,minutes,0,0
240,7,minutes,2,90
240,7,clean_sheets,1,1
241,7,minutes,1,1
242,7,minutes,2,90
242,7,clean_sheets,4,1
243,7,minutes,0,0
244,5,minutes,0,0
245,5,minutes,0,0
246,5,minutes,0,0
247,5,minutes,0,0
248,5,minutes,0,0
249,5,minutes,2,90
250,5,minutes,2,82
251,5,minutes,0,0
252,5,minutes,0,0
253,5,minutes,0,0
254,5,minutes,2,90
255,5,minutes,0,0
256,5,minutes,2,90
257,5,minutes,2,90
258,5,minutes,2,71
259,5,minutes,0,0
260,5,minutes,0,0
261,5,minutes,2,90
262,5,minutes,2,90
263,5,minutes,2,90
264,5,minutes,0,0
265,5,minutes,2,90
266,5,minutes,0,0
267,5,minutes,1,32
267,5,assists,3,1
268,5,minutes,1,57
269,5,minutes,0,0
270,5,minutes,1,45
270,5,goals_scored,5,1
271,5,minutes,2,90
271,5,clean_sheets,4,1
271,5,bonus,2,2
272,5,minutes,0,0
273,5,minutes,0,0
274,5,minutes,0,0
275,5,minutes,2,90
275,5,clean_sheets,4,1
275,5,saves,3,9
275,5,bonus,3,3
276,5,minutes,2,90
276,5,clean_sheets,1,1
277,5,minutes,0,0
278,5,minutes,1,32
279,5,minutes,0,0
280,5,minutes,0,0
281,5,minutes,2,90
281,5,clean_sheets,4,1
281,5,bonus,1,1
282,5,minutes,2,90
282,5,clean_sheets,1,1
283,5,minutes,2,90
283,5,clean_sheets,4,1
284,5,minutes,0,0
285,5,minutes,2,90
285,5,clean_sheets,4,1
285,5,yellow_cards,-1,1
286,5,minutes,0,0
287,5,minutes,0,0
288,5,minutes,2,90
288,5,clean_sheets,1,1
289,9,minutes,0,0
290,9,minutes,2,90
290,9,yellow_cards,-1,1
291,9,minutes,2,90
291,9,saves,1,4
292,9,minutes,0,0
293,9,minutes,1,24
294,9,minutes,2,65
294,9,yellow_cards,-1,1
295,9,minutes,1,13
296,9,minutes,0,0
297,9,minutes,2,65
298,9,minutes,0,0
299,9,minutes,0,0
300,9,minutes,1,24
301,9,minutes,0,0
302,9,minutes,2,90
303,9,minutes,2,76
303,9,goals_scored,5,1
303,9,bonus,1,1
304,9,minutes,2,90
304,9,yellow_cards,-1,1
305,9,minutes,0,0
306,9,minutes,0,0
307,9,minutes,2,90
308,9,minutes,2,76
308,9,assists,3,1
309,9,minutes,2,90
310,9,minutes,0,0
311,9,minutes,0,0
312,9,minutes,0,0
313,9,minutes,2,90
314,4,minutes,2,63
315,4,minutes,2,75
315,4,goals_conceded,-1,2
315,4,yellow_cards,-1,1
316,4,minutes,2,90
316,4,goals_conceded,-2,4
317,4,minutes,1,2
318,4,minutes,0,0
319,4,minutes,0,0
320,4,minutes,0,0
321,4,minutes,1,26
321,4,goals_conceded,-1,3
322,4,minutes,0,0
323,4,minutes,0,0
324,4,minutes,0,0
325,4,minutes,0,0
326,4,minutes,2,90
326,4,goals_scored,4,1
326,4,bonus,2,2
327,4,minutes,0,0
328,4,minutes,1,14
329,4,minutes,0,0
330,4,minutes,0,0
331,4,minutes,0,0
332,4,minutes,0,0
333,4,minutes,0,0
334,4,minutes,0,0
335,4,minutes,0,0
336,4,minutes,0,0
337,4,minutes,0,0
338,4,minutes,0,0
339,4,minutes,0,0
340,4,minutes,1,2
341,1,minutes,2,90
341,1,clean_sheets,4,1
342,1,minutes,2,78
342,1,clean_sheets,4,1
342,1,bonus,1,1
343,1,minutes,2,90
343,1,assists,3,1
344,1,minutes,2,90
344,1,clean_sheets,1,1
345,1,minutes,0,0
346,1,minutes,0,0
347,1,minutes,0,0
348,1,minutes,0,0
349,1,minutes,1,22
350,1,minutes,0,0
351,1,minutes,0,0
352,1,minutes,2,90
352,1,clean_sheets,4,1
353,1,minutes,2,90
353,1,clean_sheets,1,1
354,1,minutes,0,0
355,1,minutes,2,79
355,1,goals_scored,8,2
355,1,bonus,3,3
356,1,minutes,2,67
356,1,clean_sheets,1,1
357,1,minutes,1,11
358,1,minutes,2,78
358,1,clean_sheets,4,1
359,1,minutes,0,0
360,1,minutes,1,1
361,1,minutes,0,0
362,1,minutes,1,10
363,1,minutes,0,0
364,1,minutes,0,0
365,1,minutes,2,90
365,1,goals_scored,5,1
365,1,assists,3,1
365,1,clean_sheets,1,1
365,1,bonus,2,2
366,1,minutes,0,0
367,1,minutes,0,0
368,1,minutes,0,0
369,1,minutes,2,90
369,1,clean_sheets,4,1
370,10,minutes,0,0
371,10,minutes,0,0
372,10,minutes,2,76
372,10,clean_sheets,1,1
373,10,minutes,2,90
373,10,clean_sheets,1,1
374,10,minutes,0,0
375,10,minutes,0,0
376,10,minutes,2,90
376,10,clean_sheets,1,1
377,10,minutes,0,0
378,2,minutes,1,10
378,2,assists,3,1
379,10,minutes,1,22
380,10,minutes,0,0
381,10,minutes,0,0
382,10,minutes,2,67
382,10,clean_sheets,1,1
383,10,minutes,0,0
384,10,minutes,0,0
385,10,minutes,0,0
386,10,minutes,1,45
387,10,minutes,0,0
388,10,minutes,0,0
389,10,minutes,0,0
390,10,minutes,0,0
391,10,minutes,1,45
391,10,yellow_cards,-1,1
392,10,minutes,1,2
393,10,minutes,0,0
394,10,minutes,1,13
395,10,minutes,2,90
395,10,goals_scored,6,1
395,10,clean_sheets,4,1
395,10,bonus,2,2
396,10,minutes,2,87
396,10,clean_sheets,1,1
397,10,minutes,1,22
398,10,minutes,2,90
398,10,clean_sheets,4,1
398,10,yellow_cards,-1,1
399,10,minutes,0,0
400,10,minutes,0,0
401,10,minutes,2,90
401,10,assists,3,1
401,10,clean_sheets,4,1
401,10,bonus,3,3
402,6,minutes,2,85
403,6,minutes,1,1
404,6,minutes,0,0
405,6,minutes,2,90
405,6,assists,3,1
405,6,yellow_cards,-1,1
405,6,bonus,1,1
406,6,minutes,2,84
406,6,yellow_cards,-1,1
407,6,minutes,2,90
408,6,minutes,0,0
409,6,minutes,0,0
410,6,minutes,0,0
411,6,minutes,0,0
412,6,minutes,2,67
412,6,assists,3,1
412,6,yellow_cards,-1,1
413,6,minutes,0,0
414,6,minutes,0,0
415,6,minutes,2,67
415,6,goals_scored,8,2
415,6,bonus,3,3
416,6,minutes,2,90
417,6,minutes,0,0
418,6,minutes,0,0
419,6,minutes,0,0
420,6,minutes,0,0
421,6,minutes,1,5
422,6,minutes,0,0
423,6,minutes,1,4
423,6,assists,3,1
424,6,minutes,2,90
424,6,saves,1,5
425,6,minutes,0,0
426,6,minutes,0,0
427,6,minutes,2,90
428,6,minutes,0,0
429,6,minutes,2,90
429,6,goals_scored,5,1
429,6,yellow_cards,-1,1
430,6,minutes,2,90
431,6,minutes,0,0
432,6,minutes,0,0
433,6,minutes,1,22
433,6,goals_scored,4,1
434,2,minutes,0,0
435,2,minutes,0,0
436,2,minutes,2,90
436,2,goals_conceded,-1,2
437,2,minutes,1,19
437,2,goals_scored,4,1
437,2,bonus,2,2
438,2,minutes,0,0
439,2,minutes,2,90
439,2,goals_conceded,-1,2
440,2,minutes,0,0
441,2,minutes,0,0
442,2,minutes,2,70
443,2,minutes,0,0
444,2,minutes,0,0
445,2,minutes,0,0
446,2,minutes,0,0
447,2,minutes,2,90
448,2,minutes,0,0
449,2,minutes,0,0
450,2,minutes,2,79
451,2,minutes,1,1
452,2,minutes,0,0
453,2,minutes,2,89
453,2,yellow_cards,-1,1
454,2,minutes,0,0
455,2,minutes,2,90
455,2,goals_conceded,-1,2
456,2,minutes,0,0
457,2,minutes,0,0
458,2,minutes,0,0
459,2,minutes,0,0
460,2,minutes,0,0
461,2,minutes,0,0
462,2,minutes,0,0
463,2,minutes,0,0
464,2,minutes,0,0
465,2,minutes,0,0
466,2,minutes,0,0
467,2,minutes,1,18
468,2,minutes,1,1
469,2,minutes,2,89
469,2,goals_conceded,-1,2
470,2,minutes,2,90
471,7,minutes,2,90
471,7,yellow_cards,-1,1
472,7,minutes,0,0
473,7,minutes,2,90
474,7,minutes,2,79
475,1,minutes,2,90
476,7,minutes,0,0
477,7,minutes,0,0
478,7,minutes,0,0
479,7,minutes,0,0
480,7,minutes,2,90
481,7,minutes,0,0
482,7,minutes,2,90
482,7,saves,2,7
483,7,minutes,0,0
484,7,minutes,2,79
485,7,minutes,0,0
486,7,minutes,0,0
487,7,minutes,0,0
488,7,minutes,2,90
489,7,minutes,2,86
490,7,minutes,2,90
490,7,yellow_cards,-1,1
491,8,minutes,0,0
492,8,minutes,0,0
493,8,minutes,2,90
494,8,minutes,0,0
495,8,minutes,0,0
496,8,minutes,0,0
497,8,minutes,2,90
497,8,goals_scored,6,1
497,8,goals_conceded,-1,2
497,8,bonus,1,1
498,8,minutes,0,0
499,8,minutes,0,0
500,8,minutes,0,0
501,8,minutes,2,90
502,8,minutes,0,0
503,8,minutes,0,0
504,8,minutes,2,90
504,8,assists,6,2
504,8,yellow_cards,-1,1
504,8,bonus,2,2
505,8,minutes,0,0
506,8,minutes,0,0
507,8,minutes,1,15
508,8,minutes,0,0
509,8,minutes,2,90
510,8,minutes,0,0
511,8,minutes,1,13
511,8,goals_scored,6,1
512,8,minutes,2,76
512,8,goals_conceded,-1,2
512,8,yellow_cards,-1,1
513,8,minutes,1,15
514,8,minutes,0,0
515,8,minutes,2,74
515,8,yellow_cards,-1,1
516,8,minutes,2,74
517,8,minutes,0,0
518,8,minutes,0,0
519,8,minutes,2,90
519,8,goals_conceded,-1,2
520,8,minutes,2,90
520,8,goals_conceded,-1,2
520,8,yellow_cards,-1,1
520,8,saves,1,4
521,8,minutes,0,0
522,3,minutes,2,90
523,3,minutes,2,77
523,3,yellow_cards,-1,1
524,3,minutes,2,90
524,3,saves,1,4
525,3,minutes,2,90
526,3,minutes,2,90
526,3,goals_scored,5,1
526,3,yellow_cards,-1,1
526,3,bonus,3,3
527,3,minutes,1,1
528,3,minutes,2,90
529,3,minutes,0,0
530,3,minutes,0,0
531,3,minutes,0,0
532,3,minutes,2,90
532,3,yellow_cards,-1,1
533,3,minutes,0,0
534,3,minutes,2,85
535,3,minutes,1,12
536,3,minutes,0,0
537,3,minutes,1,4
538,3,minutes,0,0
539,3,minutes,2,90
539,3,yellow_cards,-1,1
540,2,minutes,2,90
541,3,minutes,0,0
542,3,minutes,2,90
542,3,assists,3,1
542,3,bonus,2,2
543,3,minutes,0,0
544,3,minutes,2,90
545,10,minutes,2,76
545,10,yellow_cards,-1,1
546,10,minutes,0,0
547,10,minutes,0,0
548,10,minutes,1,13
549,10,minutes,0,0
550,10,minutes,0,0
551,10,minutes,2,90
552,10,minutes,1,13
553,4,minutes,2,90
553,4,goals_conceded,-2,4
554,10,minutes,0,0
555,10,minutes,0,0
556,10,minutes,0,0
557,10,minutes,1,27
558,5,minutes,1,57
559,10,minutes,2,87
560,10,minutes,0,0
561,10,minutes,0,0
562,10,minutes,1,2
563,10,minutes,2,90
564,10,minutes,0,0
565,10,minutes,2,90
565,10,yellow_cards,-1,1
566,10,minutes,2,90
567,10,minutes,2,90
567,10,yellow_cards,-1,1
568,10,minutes,0,0
569,10,minutes,2,90
570,10,minutes,2,62
570,10,clean_sheets,1,1
571,10,minutes,0,0
572,10,minutes,2,90
573,10,minutes,0,0
574,10,minutes,0,0
575,4,minutes,2,90
575,4,goals_conceded,-2,4
576,7,minutes,2,79
577,3,minutes,0,0
578,2,minutes,0,0
579,5,minutes,0,0
580,6,minutes,0,0
581,6,minutes,0,0
582,4,minutes,2,87
583,8,minutes,0,0
584,6,minutes,1,59
584,6,goals_conceded,-1,3
585,2,minutes,1,49
585,2,yellow_cards,-1,1
586,4,minutes,2,87
587,7,minutes,1,10
587,7,yellow_cards,-1,1
588,5,minutes,2,90
589,9,minutes,0,0
590,10,minutes,2,76
591,5,minutes,1,45
591,5,yellow_cards,-1,1
592,7,minutes,1,10
593,7,minutes,2,86
594,1,minutes,2,60
595,3,minutes,2,90
596,1,minutes,2,90
596,1,goals_conceded,-1,3
596,1,saves,1,5
597,10,minutes,2,90
597,10,clean_sheets,4,1
597,10,saves,2,6
597,10,bonus,1,1
598,10,minutes,0,0
599,6,minutes,2,86
599,6,goals_scored,5,1
600,1,minutes,1,1
601,5,minutes,1,18
602,4,minutes,2,63
602,4,yellow_cards,-1,1
603,6,minutes,1,22
603,6,goals_scored,5,1
603,6,assists,3,1
603,6,bonus,2,2
604,2,minutes,2,71
604,2,goals_conceded,-1,2
604,2,yellow_cards,-1,1
605,1,minutes,2,60
606,4,minutes,0,0
607,3,minutes,0,0
608,1,minutes,1,29
609,9,minutes,1,9
610,5,minutes,0,0
611,9,minutes,2,90
611,9,goals_scored,6,1
611,9,bonus,3,3
613,9,minutes,1,1
614,4,minutes,2,90
614,4,goals_conceded,-2,4
614,4,saves,2,8
614,4,bonus,1,1
615,7,minutes,0,0
616,1,minutes,1,11
617,10,minutes,0,0
618,6,minutes,0,0
619,3,minutes,0,0
620,8,minutes,0,0
621,4,minutes,0,0
622,1,minutes,0,0
623,9,minutes,0,0
624,5,minutes,1,7
625,5,minutes,0,0
626,9,minutes,0,0
627,9,minutes,0,0
628,9,minutes,1,13
629,9,minutes,0,0
630,4,minutes,0,0
631,4,minutes,1,26
631,4,assists,3,1
632,10,minutes,0,0
633,6,minutes,0,0
634,6,minutes,0,0
635,6,minutes,0,0
636,2,minutes,0,0
637,2,minutes,0,0
638,7,minutes,1,10
639,8,minutes,2,90
639,8,goals_conceded,-1,2
640,8,minutes,0,0
641,8,minutes,0,0
642,3,minutes,0,0
643,3,minutes,2,74
644,3,minutes,0,0
645,5,minutes,0,0
646,2,minutes,0,0
647,3,minutes,0,0
648,4,minutes,0,0
649,5,minutes,0,0
650,5,minutes,0,0
651,5,minutes,0,0
652,5,minutes,0,0
653,7,minutes,0,0
654,7,minutes,0,0
655,7,minutes,1,3
656,7,minutes,1,3
657,7,minutes,0,0
658,7,minutes,0,0
659,9,minutes,0,0
